brand,model,year,km_driven,fuel_type,transmission_type,mileage,selling_price
skoda,octavia,2005,100000,petrol,automatic,14.45,204999
maruti,alto,2017,30000,petrol,manual,24.07,375000
ford,ecosport,2014,68000,diesel,manual,22.7,675000
chevrolet,spark,2011,21000,petrol,manual,18.0,95000
jaguar,xf,2017,21000,diesel,automatic,19.33,5200000
honda,cr-v,2007,119000,petrol,manual,13.1,391000
skoda,superb,2019,13747,petrol,automatic,14.67,2730000
hyundai,i10,2009,620000,petrol,manual,20.36,270000
maruti,swift,2013,70000,diesel,manual,22.9,350000
maruti,swift dzire,2016,18000,petrol,automatic,18.5,620000
nissan,micra,2011,83000,diesel,manual,23.08,275000
maruti,swift dzire,2015,130000,diesel,manual,23.4,325000
ford,fiesta,2012,63400,diesel,manual,17.8,325000
maruti,zen,2003,65000,petrol,manual,17.3,65000
mini,clubman,2017,8350,petrol,manual,13.8,3500000
toyota,etios,2014,45000,diesel,manual,23.59,325000
maruti,alto,2018,26200,petrol,manual,24.7,290000
maruti,alto,2011,11000,petrol,manual,18.9,290000
bmw,x5,2009,90000,diesel,automatic,11.0,1775000
nissan,teana,2015,74000,petrol,automatic,11.07,825000
hyundai,grand,2015,37081,petrol,automatic,18.9,577000
maruti,vitara,2017,39000,diesel,manual,24.3,949000
audi,q7,2008,99000,diesel,automatic,12.07,1295000
mercedes-benz,gla,2015,38000,diesel,automatic,17.9,2000000
maruti,800,2007,72000,petrol,manual,16.1,100000
renault,duster,2015,93000,diesel,manual,20.45,710000
toyota,corolla,2017,5900,diesel,manual,21.43,1650000
mercedes-benz,new,2014,25000,diesel,manual,15.8,2600000
maruti,ritz,2010,68000,diesel,manual,21.1,320000
honda,brv,2017,35676,petrol,automatic,16.0,948000
hyundai,xcent,2015,74310,diesel,manual,24.4,400000
mercedes-benz,e-class,2014,59364,diesel,automatic,14.21,2650000
mercedes-benz,b,2014,41380,petrol,automatic,14.8,1177000
mercedes-benz,e-class,2017,33900,diesel,automatic,15.0,3700000
honda,city,2016,28000,petrol,manual,17.8,875000
hyundai,santro,2007,50958,petrol,manual,17.0,195000
honda,city,2011,93982,petrol,manual,17.0,375000
hyundai,verna,2010,95000,petrol,manual,16.2,250000
jaguar,xe,2017,9000,petrol,automatic,13.5,3450000
honda,amaze,2015,52516,petrol,manual,18.0,465000
mini,cooper,2015,20000,petrol,automatic,18.86,3200000
mercedes-benz,s,2017,56451,diesel,automatic,13.5,6281000
hyundai,eon,2014,37000,petrol,manual,21.1,325000
maruti,wagon r,2014,17400,petrol,manual,20.51,310000
maruti,ritz,2011,90207,diesel,manual,21.1,391000
bmw,3,2011,89616,diesel,automatic,16.07,1100000
tata,xenon,2014,85000,diesel,manual,13.49,350000
audi,a3,2014,79271,diesel,automatic,20.38,1650000
land,rover,2012,56000,diesel,automatic,12.7,3000000
mercedes-benz,gl-class,2010,85001,diesel,automatic,12.0,2800000
mitsubishi,pajero,2018,12000,diesel,automatic,13.5,2800000
maruti,alto,2010,125000,petrol,manual,19.7,92000
maruti,wagon r,2013,53000,petrol,manual,14.0,275000
land,rover,2017,34990,diesel,automatic,12.7,5383000
hyundai,verna,2011,49768,petrol,manual,17.01,495000
bmw,5,2013,56000,diesel,automatic,16.73,3350000
jaguar,xf,2013,75000,diesel,automatic,14.74,2795000
skoda,superb,2010,57000,petrol,automatic,13.7,725000
audi,q3,2017,37542,diesel,automatic,15.73,2571000
land,rover,2014,95649,diesel,automatic,12.7,2967000
mercedes-benz,new,2013,35299,diesel,automatic,14.84,1900000
mahindra,scorpio,2017,28464,diesel,manual,15.4,1305000
bmw,3,2015,41000,diesel,automatic,21.76,2550000
honda,br-v,2017,9000,petrol,manual,15.4,850000
volvo,s80,2010,92098,diesel,automatic,16.0,725000
hyundai,accent,2005,5834,petrol,manual,13.2,80000
hyundai,i20,2017,40250,petrol,manual,17.19,690000
mercedes-benz,glc,2018,22397,petrol,automatic,11.5,7098999
hyundai,eon,2015,20800,petrol,manual,21.1,225000
hyundai,grand,2018,40322,petrol,manual,18.9,550000
honda,city,2013,52576,petrol,manual,13.0,434999
volkswagen,polo,2010,55000,petrol,manual,16.47,225000
audi,a6,2016,47000,petrol,automatic,15.26,2450000
volkswagen,jetta,2010,42021,diesel,manual,0.0,545000
hyundai,creta,2017,23163,petrol,manual,15.29,1203000
mercedes-benz,new,2011,50000,petrol,automatic,11.74,850000
mini,cooper,2014,11900,petrol,automatic,16.82,2850000
hyundai,santro,2006,108000,petrol,manual,17.0,120000
toyota,etios,2013,37000,diesel,manual,23.59,575000
honda,brio,2014,30000,petrol,manual,19.4,320000
maruti,baleno,2018,12831,petrol,automatic,21.4,989000
skoda,laura,2012,143017,diesel,automatic,20.0,658000
hyundai,eon,2018,13102,petrol,manual,21.1,405999
renault,captur,2019,24950,diesel,manual,20.37,1337000
bmw,5,2011,57832,diesel,automatic,16.2,2582000
maruti,alto,2016,34267,petrol,manual,22.74,374000
volvo,v40,2015,33000,diesel,automatic,16.8,2200000
maruti,wagon r,2007,55100,petrol,manual,18.9,145000
honda,city,2008,40000,petrol,manual,17.7,200000
maruti,eeco,2017,31841,cng,manual,15.1,470000
chevrolet,enjoy,2014,15000,petrol,manual,13.7,375000
mahindra,bolero,2016,82756,diesel,manual,15.96,770000
hyundai,santro,2012,50243,petrol,manual,0.0,335000
hyundai,eon,2014,20600,petrol,manual,21.1,260000
hyundai,creta,2017,29952,petrol,automatic,13.0,1377000
volkswagen,vento,2017,15000,petrol,manual,16.09,710000
honda,civic,2008,61938,petrol,automatic,12.9,265000
tata,indica,2014,67000,diesel,manual,22.3,250000
mahindra,xuv500,2013,61672,diesel,manual,16.0,753000
hyundai,i20,2017,26185,petrol,manual,18.6,798000
audi,q5,2014,38000,diesel,automatic,14.16,3900000
maruti,ritz,2011,67000,petrol,manual,18.5,225000
mitsubishi,cedia,2010,66000,petrol,manual,13.17,385000
toyota,innova,2015,80883,diesel,manual,12.8,1350000
maruti,celerio,2016,80219,diesel,manual,27.62,350000
maruti,s-cross,2018,12923,diesel,manual,25.1,892000
audi,q3,2016,86642,diesel,automatic,15.17,2037000
bmw,3,2016,19235,diesel,automatic,21.76,3650000
audi,q7,2016,51002,diesel,automatic,11.33,4891000
hyundai,i20,2016,6800,petrol,manual,18.6,720000
renault,duster,2012,82749,diesel,manual,19.01,599000
hyundai,xcent,2016,51000,diesel,manual,24.4,525000
ford,ecosport,2014,31465,diesel,manual,22.7,650000
volkswagen,polo,2013,76476,petrol,manual,16.47,440000
hyundai,grand,2017,14000,diesel,manual,24.0,459999
tata,manza,2013,47000,diesel,manual,21.12,295000
honda,city,2011,48466,petrol,manual,17.0,326000
hyundai,santro,2008,46000,petrol,manual,17.92,222000
toyota,innova,2012,162663,diesel,manual,12.99,1050000
maruti,ciaz,2017,25142,diesel,manual,28.09,826000
toyota,fortuner,2013,69000,diesel,manual,12.55,1445000
ford,fiesta,2009,80524,petrol,manual,15.3,250000
mercedes-benz,e-class,2018,26405,petrol,automatic,12.6,5143000
mercedes-benz,new,2014,45000,diesel,manual,15.8,2300000
skoda,yeti,2012,64284,diesel,manual,17.72,550000
hyundai,grand,2015,27000,petrol,manual,18.9,450000
ford,figo,2018,3678,petrol,manual,18.16,680000
skoda,octavia,2013,21000,petrol,manual,16.8,875000
renault,duster,2015,67000,diesel,manual,19.87,700000
land,rover,2015,24000,diesel,automatic,15.68,3350000
ford,figo,2011,75000,diesel,manual,20.0,225000
ford,endeavour,2008,179000,diesel,automatic,12.8,424000
toyota,fortuner,2017,47198,diesel,manual,12.55,2842000
volkswagen,polo,2012,52000,diesel,manual,22.07,275000
maruti,ritz,2011,91000,diesel,manual,23.2,300000
nissan,micra,2013,60000,diesel,manual,23.08,355000
hyundai,verna,2013,37873,diesel,manual,22.32,480000
bmw,5,2011,31000,petrol,automatic,10.8,1350000
mercedes-benz,gls,2017,129000,diesel,automatic,11.0,5600000
honda,cr-v,2004,78000,petrol,automatic,12.0,399000
hyundai,creta,2016,32000,diesel,automatic,17.01,1550000
